Data.Fat.Total Lipid,Data.Fat.Saturated Fat,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Cholesterol,Cluster,PCA1,PCA2,Cluster_PCA,Category
3.6,1.367,1.289,0.298,7,0,-0.6981030517930435,-0.18624515721606277,1,BABYFOOD
3.6,1.367,1.289,0.298,7,0,-0.6981030517930435,-0.18624515721606277,1,BABYFOOD
6.93,2.84,3.12,0.9,12,0,-0.2959047467656442,-0.15848701082909944,1,BABYFOOD
2.95,1.063,1.347,0.377,4,0,-0.7324614990849614,-0.21908499507259843,1,BABYFOOD
2.14,0.764,0.963,0.234,5,0,-0.8201264364302054,-0.2073149982145268,1,BABYFOOD
1.89,0.483,0.811,0.448,3,0,-0.8419048738849274,-0.2365651383606226,1,BABYFOOD
2.0,0.828,0.822,0.167,6,0,-0.8358931582450941,-0.1941488717027754,1,BABYFOOD
1.7,0.696,0.69,0.154,5,0,-0.8665655165018387,-0.20300164285187475,1,BABYFOOD
2.06,0.595,0.854,0.461,16,0,-0.8156435651558904,-0.13046347628399732,1,BABYFOOD
1.18,0.338,0.467,0.272,9,0,-0.9123146513134122,-0.18045132304495382,1,BABYFOOD
